NODE_KEY,locale,DESCRIPTION
74867AD200E41EDBA5D8B06B26EB4052,de,"Notebook Basic 15 mit 2,80 GHz Quad-Core, 15 ""LCD, 4 GB DDR3-RAM, 500 GB Festplatte, Windows 8 Pro"
74867AD200E41EDBA5D8B06B26EB6052,de,"Notebook Basic 17 mit 2,80 GHz Quad-Core, 17 ""LCD, 4 GB DDR3-RAM, 500 GB Festplatte, Windows 8 Pro"
74867AD200E41EDBA5D8B06B26EB8052,de,"Notebook Basic 18 mit 2,80 GHz Quad-Core, 18 ""LCD, 8 GB DDR3-RAM, 1000 GB Festplatte, Windows 8 Pro"
74867AD200E41EDBA5D8B06B26EBA052,de,"Notebook Basic 19 mit 2,80 GHz Quad-Core, 19 ""LCD, 8 GB DDR3-RAM, 1000 GB Festplatte, Windows 8 Pro"
74867AD200E41EDBA5D8B06B26EBC052,de,Digital Organizer mit modernster Speicherverschlüsselung
74867AD200E41EDBA5D8B06B26EBE052,de,"Notebook Professional 15 mit 2,80 GHz Quad-Core, 15 ""Multitouch-LCD, 8 GB DDR3-RAM, 500 GB SSD - DVD-Brenner (DVD-R / + R / -RW / -RAM), Windows 8 Pro"
74867AD200E41EDBA5D8B06B26EC0052,de,"Notebook Professional 17 mit 2,80 GHz Quad-Core, 17 ""Multitouch-LCD, 8 GB DDR3-RAM, 500 GB SSD - DVD-Brenner (DVD-R / + R / -RW / -RAM), Windows 8 Pro"
74867AD200E41EDBA5D8B06B26EC2052,de,Digital Organizer mit modernster Verschlüsselung für Speicher und Netzwerkkommunikation
74867AD200E41EDBA5D8B06B26EC4052,de,Digital Organizer mit modernster Verschlüsselung für Speicher und Secure Stellite Link
74867AD200E41EDBA5D8B06B26EC6052,de,32 GB Digital Assistant mit hochauflösendem Farbbildschirm
74867AD200E41EDBA5D8B06B26EC8052,de,64 GB Digital Assistant mit hochauflösendem Farbbildschirm und synthetisierter Sprachausgabe
74867AD200E41EDBA5D8B06B26ECA052,de,"Optimale Hi-Resolution max. 1920 x 1080 bei 85 Hz, Punktabstand: 0,27 mm"
74867AD200E41EDBA5D8B06B26ECC052,de,"Optimale Hi-Resolution max. 1920 x 1200 bei 85 Hz, Punktabstand: 0,26 mm"
74867AD200E41EDBA5D8B06B26ECE052,de,"Optimale Hi-Resolution max. 2560 x 1440 bei 85 Hz, Punktabstand: 0,25 mm"
74867AD200E41EDBA5D8B06B26ED0052,de,"Optimale Hi-Resolution max. 1600 x 1200 bei 85 Hz, Punktabstand: 0,24 mm"
74867AD200E41EDBA5D8B06B26ED2052,de,"Optimale Hi-Resolution max. 2048 x 1080 bei 85 Hz, Punktabstand: 0,26 mm"
74867AD200E41EDBA5D8B06B26ED4052,de,"Optimale Hi-Resolution max. 2016 x 1512 bei 85 Hz, Punktabstand: 0,24 mm"
74867AD200E41EDBA5D8B06B26ED6052,de,"Drucken Sie Farbdokumente in Bildqualität mit 2400 dpi mit einer Geschwindigkeit von bis zu 32 Seiten pro Minute (Farbe) oder 36 Seiten pro Minute (Schwarzweiß), Buchstabe / A4. Leistungsstarker 500-MHz-Prozessor, 512 MB Speicher"
74867AD200E41EDBA5D8B06B26EB4052,fr,"Notebook Basic 15 con 2,80 GHz de cuatro núcleos, pantalla LCD de 15 "", 4 GB de RAM DDR3, disco duro de 500 GB, Windows 8 Pro"
74867AD200E41EDBA5D8B06B26EB6052,fr,"Notebook Basic 17 con 2,80 GHz de cuatro núcleos, pantalla LCD de 17 "", 4 GB de RAM DDR3, disco duro de 500 GB, Windows 8 Pro"
74867AD200E41EDBA5D8B06B26EB8052,fr,"Notebook Basic 18 con 2,80 GHz de cuatro núcleos, pantalla LCD de 18 "", 8 GB de RAM DDR3, disco duro de 1000 GB, Windows 8 Pro"
74867AD200E41EDBA5D8B06B26EBA052,fr,"Notebook Basic 19 con 2,80 GHz de cuatro núcleos, pantalla LCD de 19 "", 8 GB de RAM DDR3, disco duro de 1000 GB, Windows 8 Pro"
74867AD200E41EDBA5D8B06B26EBC052,fr,Organizador digital con cifrado de almacenamiento de última generación
74867AD200E41EDBA5D8B06B26EBE052,fr,"Notebook Professional 15 con 2,80 GHz de cuatro núcleos, LCD multitáctil de 15 "", RAM DDR3 de 8 GB, SSD de 500 GB - Grabadora de DVD (DVD-R / + R / -RW / -RAM), Windows 8 Pro"
74867AD200E41EDBA5D8B06B26EC0052,fr,"Notebook Professional 17 con 2,80 GHz de cuatro núcleos, LCD multitáctil de 17 "", RAM DDR3 de 8 GB, SSD de 500 GB - Grabadora de DVD (DVD-R / + R / -RW / -RAM), Windows 8 Pro"
74867AD200E41EDBA5D8B06B26EC2052,fr,Organizador digital con cifrado de última generación para almacenamiento y comunicaciones de red
74867AD200E41EDBA5D8B06B26EC4052,fr,Organizador digital con cifrado de última generación para almacenamiento y enlace Stellite seguro
74867AD200E41EDBA5D8B06B26EC6052,fr,Asistente digital de 32 GB con pantalla a color de alta resolución
74867AD200E41EDBA5D8B06B26EC8052,fr,Asistente digital de 64 GB con pantalla a color de alta resolución y salida de voz sintetizada
74867AD200E41EDBA5D8B06B26ECA052,fr,"Máx. De alta resolución óptima. 1920 x 1080 a 85 Hz, tamaño de punto: 0,27 mm"
74867AD200E41EDBA5D8B06B26ECC052,fr,"Máx. De alta resolución óptima. 1920 x 1200 a 85 Hz, tamaño de punto: 0,26 mm"
74867AD200E41EDBA5D8B06B26ECE052,fr,"Máx. De alta resolución óptima. 2560 x 1440 a 85 Hz, tamaño de punto: 0,25 mm"
74867AD200E41EDBA5D8B06B26ED0052,fr,"Máx. De alta resolución óptima. 1600 x 1200 a 85 Hz, tamaño de punto: 0,24 mm"
74867AD200E41EDBA5D8B06B26ED2052,fr,"Máx. De alta resolución óptima. 2048 x 1080 a 85 Hz, tamaño de punto: 0,26 mm"
74867AD200E41EDBA5D8B06B26ED4052,fr,"Máx. De alta resolución óptima. 2016 x 1512 a 85 Hz, tamaño de punto: 0,24 mm"
74867AD200E41EDBA5D8B06B26ED6052,fr,"Imprima documentos en color con calidad de imagen de 2400 ppp a velocidades de hasta 32 ppm (color) o 36 ppm (monocromo), carta / A4. Potente procesador de 500 MHz, 512 MB de memoria"
